[-0.08301394],[0.59489705],[0.70832868],[0.1594387],[-0.29051028],[-0.25772812],[0.95659686]
[-0.03079271],[0.68697524],[-0.5187027],[-0.12480086],[-0.62929022],[0.32232217],[-0.22991429]
[-0.98800736],[0.64444243],[0.89194262],[-0.00546918],[-1.04246989],[-0.29697979],[-0.79045546]
[0.72630638],[0.68449662],[-0.43422401],[0.08081746],[-0.51909614],[0.23799188],[0.29759489]
[-0.34492857],[0.54460002],[-1.07284383],[-0.97516374],[-0.48541995],[-0.27006584],[0.08872207]
[-0.04838761],[0.87371543],[0.85117117],[0.24690792],[-0.42480787],[0.24126793],[0.126315]
[-1.13536525],[0.71555188],[0.12491689],[-0.22293536],[-0.54688699],[-0.19465964],[0.19438871]
[-0.27596464],[0.34170068],[0.30241334],[0.09453396],[-0.13655055],[0.32489226],[-0.55762089]
[-0.85623129],[0.66302115],[0.28035438],[-0.2444857],[-0.34050297],[-0.28890487],[0.00844463]
[-0.42895217],[0.74343393],[0.17366553],[-0.145104],[-0.5090068],[0.3828128],[0.02318188]
[-0.77790479],[0.68180203],[0.62783727],[0.03359386],[-0.13558247],[-0.31531153],[0.23787889]
[-1.03994461],[0.40954409],[0.14800623],[-0.41087705],[0.18669486],[0.12923345],[-0.07789538]
[-0.69135081],[0.42700866],[0.34400749],[-0.33661957],[-0.53783737],[-0.26857695],[-0.61945096]
[0.62331228],[-0.03695751],[0.42353218],[-0.24462609],[0.28304194],[0.1368862],[-0.09071494]
[-0.43526884],[0.56935271],[-0.14346288],[0.17471498],[0.11135191],[-0.14808922],[0.4058354]
[-1.0706053],[-0.0280591],[-0.32076663],[-0.09766251],[-0.28031476],[0.22703782],[0.20084531]
[-0.95219841],[-0.40643391],[0.48298036],[-0.52096285],[-0.65368544],[-0.26046085],[0.23731571]
[-0.34915813],[0.39132244],[-0.37594575],[-0.44823564],[-0.62049603],[0.24609417],[-0.25005133]
[0.18547478],[-0.12128486],[-0.15248934],[-0.38013673],[0.06232886],[-0.43824178],[0.20275802]
[-0.39337335],[-0.52492007],[0.79845396],[-0.02692902],[-0.25643948],[0.15193125],[0.43150121]
[0.0173414],[-0.59601282],[0.43811145],[-0.31232089],[-0.42258881],[-0.32934312],[0.06120393]
[-0.08329502],[-0.5000071],[0.49826861],[0.17705342],[0.40338528],[0.2034559],[-0.35559031]
[-0.65652072],[-0.14227129],[0.3055905],[-0.51073364],[-0.04843395],[-0.18500638],[-0.46492357]
[-0.89443847],[-0.53381088],[0.64642815],[-0.81992725],[-0.62937814],[0.33214975],[0.33916112]
[-0.37123921],[-0.7965586],[0.51954407],[-0.38017003],[-0.29477163],[-0.30404778],[0.0017391]
[-0.25963109],[-0.59950815],[0.84340657],[0.72875058],[0.02554717],[0.460442],[-0.24194537]
[-0.00985493],[-0.63625749],[-0.69625742],[0.54189905],[-0.09625929],[-0.3809709],[-0.23478984]
[0.65040552],[-0.80058699],[0.64062426],[0.23109429],[-0.07033396],[0.30560796],[-0.87920975]
[-0.79076358],[-0.76141955],[0.86287165],[0.32612685],[0.15654191],[-0.28367752],[0.46305372]
[0.66936746],[-0.90927398],[-0.65409043],[0.13290058],[0.15403562],[0.10314306],[0.05909741]
[-0.33702726],[-0.53774555],[0.77982835],[-0.01169324],[-0.39924107],[-0.18031191],[0.22129769]
[-0.82700062],[-0.10423544],[0.53670944],[0.20408295],[-0.10107628],[0.03912794],[-0.26861778]
[0.69880044],[-0.87027753],[-0.64138345],[-0.07975112],[0.40856971],[-0.46907919],[0.00561179]
[0.16326263],[-1.10520743],[-0.19811543],[-0.42163281],[0.23959096],[0.14336831],[0.66345027]
[0.56093625],[-0.87137315],[0.34853083],[0.59860555],[-0.16418794],[-0.44240846],[-0.07739054]
[-0.03564211],[-1.21730745],[0.33002582],[-0.27125318],[-0.15023814],[0.42085153],[-0.69685452]
[-1.06934108],[-1.06712238],[0.02710267],[-0.95253582],[0.11293699],[-0.41198077],[-0.10986248]
[0.68671456],[-1.23818994],[0.8724381],[0.50599928],[-0.31325896],[0.31387508],[-0.16207512]
[0.42633144],[-1.34750636],[0.6253117],[0.70006869],[-0.3450244],[-0.26999574],[0.5110344]
[-0.43561848],[-0.97609941],[0.14842677],[-0.0951475],[-0.14046693],[0.54639931],[0.00207538]
[-0.19215542],[-0.37064803],[-0.32722589],[0.07290418],[-0.18498443],[-0.42058142],[-0.08386811]
[0.04278505],[-0.38745766],[-0.62098333],[-0.23843891],[0.57941795],[0.48100806],[-0.28450552]
[-0.3333568],[-0.99923679],[1.01725628],[-0.23178994],[0.12350026],[-0.09381706],[0.27899388]
[0.52113239],[-0.87159596],[-0.82205103],[-0.02593788],[-0.04763614],[0.18127345],[0.57264729]
[-1.01146382],[-0.76615957],[0.17737396],[-0.31899124],[-0.01774294],[-0.36038045],[-0.41150192]
[0.21505247],[-0.67811884],[0.4426447],[0.81953456],[0.34438617],[0.5573561],[-0.4344796]
[0.07038679],[-0.70923706],[-0.23667972],[-0.02673492],[0.41611831],[-0.61938932],[-0.33080886]
[0.42153392],[-0.45599482],[-0.43256772],[-0.04375456],[0.27769607],[0.33066449],[-0.09170174]
